Title,team,doi_pre,doi_pub,date_added_preprint,date_added_publication,source_preprint,source_publication,original,notes,Preprint in SF tracker,publication in SF tracker,apc_amount,apc_status,OpenAlex_ID,corresponding author,last author,Role,Team
3D Bioprinting of Human Neural Tissues with Functional Connectivity | bioRxiv,Scherzer,10.1101/2024.01.18.576289,10.1016/j.stem.2023.12.009,before_doi_tracker,2/9/2024 0:00,before_doi_tracker,google_alert,1,,1.0,1.0,,,W4391450102,A5101605513,A5101605513,,
Global Parkinson’s Genetics Program (GP2) Complex Network Protocol: Defining the causes of sporadic Parkinson’s disease,GP2,10.1101/2022.11.25.22282764,10.1038/s41531-023-00533-w,2/15/2024 0:00,2/15/2024 0:00,biorxiv,biorxiv_linked,1,Not sure if this paper should be in the tracker or not. It's labelled as a protocol (in the title),0.0,0.0,,,W4386640166,none,A5029605145,,
Synapsin E-domain is essential for α-synuclein function,Gradinaru,10.1101/2023.06.24.546170,10.7554/elife.89687,before_doi_tracker,3/19/2024 0:00,before_doi_tracker,comp,1,,1.0,1.0,,,W4385664850,none,A5071999088,,
Alpha-synuclein aggregates are phosphatase resistant,Kordower,10.1101/2023.11.20.567854,10.1186/s40478-024-01785-0,5/31/2024 0:00,6/11/2024 0:00,comp; works,works,1,,1.0,1.0,3665.0,Paid,W4399230878,none,A5021829625,,
Vibrational Stabilization of Complex Network Systems,Biederer,10.48550/arXiv.2308.05823,10.23919/acc55779.2023.10156032,8/20/2024 0:00,8/20/2024 0:00,hub,hub,1,"The 'publication' is a conference proceeding. This is a computations / theory article, and thus, a conference proceeding may be the final venue for sharing the manuscript.",1.0,1.0,,,W4382936236,none,A5049920415,,
Vibrational Stabilization of Cluster Synchronization in Oscillator Networks,Biederer,10.48550/arXiv.2308.07302,10.1109/ojcsys.2023.3331195,before_doi_tracker,9/1/2024 0:00,before_doi_tracker,works,1,,1.0,1.0,,,W4388505368,none,A5049920415,,
Comparative analysis of methods to reduce activation signature gene expression in PBMCs,Desjardins,10.1101/2023.07.31.549036,10.1038/s41598-023-49611-2,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1.0,,,W4390338919,none,A5015673980,,
Updated Percentiles for the University of Pennsylvania Smell Identification Test in Adults 50 Years of Age and Older,PPMI,missing,10.1212/WNL.0000000000207077,missing,before_doi_tracker,missing,before_doi_tracker,1,,,1.0,,,W4322489360,none,A5091194111,,
Multiple genome alignment in the telomere-to-telomere assembly era | Genome Biology | Full Text (biomedcentral.com),Voet,review,10.1186/s13059-022-02735-6,NA_review,before_doi_tracker,NA_review,before_doi_tracker,0,,,,,,W4293680421,none,A5054369332,,
Vibrational Control of Complex Networks,Biederer,10.48550/arXiv.2408.08263,,8/20/2024 0:00,,comp,NA_not_yet_published,1,theory / computational / mathematical paper,1.0,,,,W4406024079,none,A5074794877,,
Insights into Ancestral Diversity in Parkinson’s Disease Risk: A Comparative Assessment of Polygenic Risk Scores,GP2,10.1101/2023.11.28.23299090,10.1038/s41531-025-00967-4,5/31/2024 0:00,8/22/2025 0:00,works,biorxiv linked,1,,1.0,,,,W4412008894,none,A5042119624,,
Synaptic sabotage: How Tau and α-Synuclein undermine synaptic health,Voet,NA_review,10.1083/jcb.202409104,NA_review,2/1/2025 0:00,NA_review,OA switchboard,0,,,1.0,,,W4405758345,none,A5030470413,,
Multi-ancestry population attributable risk assessment of common genetic variation in Alzheimer’s and Parkinson’s diseases,GP2,10.1101/2024.09.23.24314240,,1/3/2025 0:00,,gp2,NA_not_yet_published,1,,1.0,,,,W4402830588,none,A5042119624,,
Global Perspectives on Returning Genetic Research Results in Parkinson Disease,GP2,NA_review,10.1212/nxg.0000000000200213,NA_review,3/28/2025 0:00,NA_review,comp,0,,,1.0,,,W4405050131,none,A5024773860,,
LRRK2-associated parkinsonism with and without in vivo evidence of alpha-synuclein aggregates: longitudinal clinical and biomarker characterization,PPMI,10.1101/2024.07.22.24310806,10.1093/braincomms/fcaf103,3/28/2025 0:00,3/28/2025 0:00,oa_report,oa_report,1,,1.0,1.0,,,W4408207574,none,A5078689202,,
The Black and African American Connections to Parkinson’s Disease (BLAAC PD) study protocol,GP2,NA_review,10.1186/s12883-024-03914-7,NA_review,3/28/2025 0:00,NA_review,lens,0,,,1.0,2890.0,Paid,W4403588310,none,A5049667081,,
Neuronal alpha-Synuclein Disease stage progression over five years,PPMI,10.1101/2024.12.17.24319172,,3/28/2025 0:00,,comp,NA_not_yet_published,1,,1.0,,,,W4405729494,none,A5111344423,,
Contralateral spread of unilateral tremor in Parkinson’s Disease,PPMI,10.1101/2025.02.20.25322608,,3/28/2025 0:00,,comp,NA_not_yet_published,1,,1.0,,,,W4407823527,none,A5070448462,,
Does COMT Play a Role in Parkinson’s Disease Susceptibility Across Diverse Ancestral Populations?,GP2,10.1101/2025.04.11.25325572,,6/2/2025 0:00,,gp2_tracker,NA_not_yet_published,1,,1.0,,,,W4409352577,none,A5003674628,,
