Unnamed: 0,WorkOpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid,Role,Team,IsCorrespondingAuthor
7,W4390345401,A5031512056,Jonggeol Kim,0000-0003-0738-0512,,,Yes
365,W4386084524,A5033120907,Craig Kelley,0000-0001-7978-5688,,,Yes
463,W3178164773,A5038754906,Luis Concha‐Marambio,0000-0002-9454-8389,,,Yes
573,W4383101796,A5089947731,Leonidas Stefanis,0000-0003-3569-8990,,,Yes
691,W4392110015,A5081815660,Njideka Okubadejo,0000-0003-2975-8803,,,Yes
983,W4286586502,A5055105219,Artur Schuh,0000-0002-8722-0908,,,Yes
1287,W4401134258,A5024773860,Christine Klein,0000-0003-2102-3431,,,Yes
1306,W4400121695,A5042119624,Sara Bandrés‐Ciga,0000-0003-0056-1361,,,Yes
1518,W4226113200,A5074828414,Hongyu Zhao,0000-0003-1195-9607,,,Yes
1811,W4296672472,A5015644536,Fernando Borges,0000-0002-7647-2341,,,Yes
1815,W4296672472,A5056426700,Salvador Durá-Bernal,0000-0002-8561-5324,,,Yes
1816,W4380077829,A5056426700,Salvador Durá-Bernal,0000-0002-8561-5324,,,Yes
2525,W4323050121,A5033284534,Hampton Leonard,0000-0003-2390-8110,,,Yes
2718,W3212865892,A5038754906,Luis Concha‐Marambio,0000-0002-9454-8389,,,Yes
2731,W3212865892,A5085647135,Claudio Soto,0000-0002-3412-0524,,,Yes
2789,W4365148465,A5021159009,Nicola Pavese,0000-0002-6801-6194,,,Yes
3146,W4220883817,A5070191350,Kelly Nudelman,0000-0003-4040-1717,,,Yes
3823,W4405791696,A5022778142,Ethan Brown,0000-0001-9744-8562,,,Yes
3952,W4403929553,A5054404642,Soraya Bardien,0000-0002-3508-3438,,,Yes
3953,W4403929553,A5086146440,María Periñán,0000-0001-7412-7440,,,Yes
4025,W4400399398,A5024773860,Christine Klein,0000-0003-2102-3431,,,Yes
4099,W4388892642,A5000103692,Robert Williams,0000-0001-8924-4447,,,Yes
4102,W4388892642,A5019701894,Dennis Bakker,0000-0002-7373-0093,,,Yes
4854,W4404648005,A5103244531,Nicole Kuznetsov,0009-0005-9847-0282,,,Yes
4915,W4408838016,A5047745647,Lara Lange,0000-0002-7162-9821,,,Yes
5021,W4391123321,A5048703191,Wael Mohamed,0000-0003-1317-0829,,,Yes
5076,W4404557222,A5086171207,Dan Vitale,0000-0002-0637-3671,,,Yes
5107,W4400158789,A5027489586,Alexis Brice,0000-0002-0941-3990,,,Yes
5116,W4401527105,A5086146440,María Periñán,0000-0001-7412-7440,,,Yes
5224,W4225152456,A5042119624,Sara Bandrés‐Ciga,0000-0003-0056-1361,,,Yes
5312,W4405385116,A5022778142,Ethan Brown,0000-0001-9744-8562,,,Yes
5335,W4401412691,A5001380703,Charles Venuto,0000-0002-2394-9513,,,Yes
5377,W4405638171,A5042831687,Mathew Koretsky,0000-0003-4341-3991,,,Yes
5834,W4407359222,A5052068068,Athina‐Maria Simitsi,0000-0002-7130-6256,,,Yes
5926,W4408672672,A5033284534,Hampton Leonard,0000-0003-2390-8110,,,Yes
6049,W4407823600,A5039737636,Manu Sharma,0000-0001-7394-2419,,,Yes
